Versjon: 03.02.2012 
Fjarstivhet: k=10.00 N/m 
Masse: m=0.10 kg 
Friksjonsparameter: b=2.50 Ns/m 
Tid: T=5.00 s 
Tidssteg: dt=10.00 s 
Omega: 10.00 s^-1 
Gamma: 12.50 s^-1 
Maksimal hastighet: v_max=0.10 m/s 
Diffligning: a = -(k/m)*x-(b/m)*v 
Beregnede data: t(i)[s]   x(i)[m]   v(i)[m/s] 
                0.00       1.00       0.10 
                0.01       1.00       -0.81 
                0.02       0.98       -1.50 
                0.03       0.97       -2.03 
                0.04       0.94       -2.43 
                0.05       0.92       -2.72 
                0.06       0.89       -2.92 
                0.07       0.86       -3.04 
                0.08       0.83       -3.12 
                0.09       0.80       -3.15 
                0.10       0.77       -3.14 
                0.11       0.74       -3.11 
                0.12       0.70       -3.06 
                0.13       0.67       -2.99 
                0.14       0.64       -2.91 
                0.15       0.62       -2.83 
                0.16       0.59       -2.73 
                0.17       0.56       -2.64 
                0.18       0.54       -2.54 
                0.19       0.51       -2.44 
                0.20       0.49       -2.34 
                0.21       0.46       -2.24 
                0.22       0.44       -2.15 
                0.23       0.42       -2.05 
                0.24       0.40       -1.96 
                0.25       0.38       -1.87 
                0.26       0.36       -1.79 
                0.27       0.35       -1.71 
                0.28       0.33       -1.63 
                0.29       0.31       -1.55 
                0.30       0.30       -1.48 
                0.31       0.28       -1.41 
                0.32       0.27       -1.34 
                0.33       0.26       -1.28 
                0.34       0.24       -1.22 
                0.35       0.23       -1.16 
                0.36       0.22       -1.10 
                0.37       0.21       -1.05 
                0.38       0.20       -1.00 
                0.39       0.19       -0.95 
                0.40       0.18       -0.90 
                0.41       0.17       -0.86 
                0.42       0.16       -0.82 
                0.43       0.16       -0.78 
                0.44       0.15       -0.74 
                0.45       0.14       -0.71 
                0.46       0.13       -0.67 
                0.47       0.13       -0.64 
                0.48       0.12       -0.61 
                0.49       0.12       -0.58 
                0.50       0.11       -0.55 
                0.51       0.10       -0.52 
                0.52       0.10       -0.50 
                0.53       0.09       -0.47 
                0.54       0.09       -0.45 
                0.55       0.09       -0.43 
                0.56       0.08       -0.41 
                0.57       0.08       -0.39 
                0.58       0.07       -0.37 
                0.59       0.07       -0.35 
                0.60       0.07       -0.33 
                0.61       0.06       -0.32 
                0.62       0.06       -0.30 
                0.63       0.06       -0.29 
                0.64       0.05       -0.27 
                0.65       0.05       -0.26 
                0.66       0.05       -0.25 
                0.67       0.05       -0.24 
                0.68       0.04       -0.22 
                0.69       0.04       -0.21 
                0.70       0.04       -0.20 
                0.71       0.04       -0.19 
                0.72       0.04       -0.18 
                0.73       0.03       -0.17 
                0.74       0.03       -0.17 
                0.75       0.03       -0.16 
                0.76       0.03       -0.15 
                0.77       0.03       -0.14 
                0.78       0.03       -0.14 
                0.79       0.03       -0.13 
                0.80       0.02       -0.12 
                0.81       0.02       -0.12 
                0.82       0.02       -0.11 
                0.83       0.02       -0.11 
                0.84       0.02       -0.10 
                0.85       0.02       -0.10 
                0.86       0.02       -0.09 
                0.87       0.02       -0.09 
                0.88       0.02       -0.08 
                0.89       0.02       -0.08 
                0.90       0.01       -0.07 
                0.91       0.01       -0.07 
                0.92       0.01       -0.07 
                0.93       0.01       -0.06 
                0.94       0.01       -0.06 
                0.95       0.01       -0.06 
                0.96       0.01       -0.06 
                0.97       0.01       -0.05 
                0.98       0.01       -0.05 
                0.99       0.01       -0.05 
                1.00       0.01       -0.05 
                1.01       0.01       -0.04 
                1.02       0.01       -0.04 
                1.03       0.01       -0.04 
                1.04       0.01       -0.04 
                1.05       0.01       -0.04 
                1.06       0.01       -0.03 
                1.07       0.01       -0.03 
                1.08       0.01       -0.03 
                1.09       0.01       -0.03 
                1.10       0.01       -0.03 
                1.11       0.01       -0.03 
                1.12       0.00       -0.02 
                1.13       0.00       -0.02 
                1.14       0.00       -0.02 
                1.15       0.00       -0.02 
                1.16       0.00       -0.02 
                1.17       0.00       -0.02 
                1.18       0.00       -0.02 
                1.19       0.00       -0.02 
                1.20       0.00       -0.02 
                1.21       0.00       -0.02 
                1.22       0.00       -0.02 
                1.23       0.00       -0.01 
                1.24       0.00       -0.01 
                1.25       0.00       -0.01 
                1.26       0.00       -0.01 
                1.27       0.00       -0.01 
                1.28       0.00       -0.01 
                1.29       0.00       -0.01 
                1.30       0.00       -0.01 
                1.31       0.00       -0.01 
                1.32       0.00       -0.01 
                1.33       0.00       -0.01 
                1.34       0.00       -0.01 
                1.35       0.00       -0.01 
                1.36       0.00       -0.01 
                1.37       0.00       -0.01 
                1.38       0.00       -0.01 
                1.39       0.00       -0.01 
                1.40       0.00       -0.01 
                1.41       0.00       -0.01 
                1.42       0.00       -0.01 
                1.43       0.00       -0.01 
                1.44       0.00       -0.01 
                1.45       0.00       -0.00 
                1.46       0.00       -0.00 
                1.47       0.00       -0.00 
                1.48       0.00       -0.00 
                1.49       0.00       -0.00 
                1.50       0.00       -0.00 
                1.51       0.00       -0.00 
                1.52       0.00       -0.00 
                1.53       0.00       -0.00 
                1.54       0.00       -0.00 
                1.55       0.00       -0.00 
                1.56       0.00       -0.00 
                1.57       0.00       -0.00 
                1.58       0.00       -0.00 
                1.59       0.00       -0.00 
                1.60       0.00       -0.00 
                1.61       0.00       -0.00 
                1.62       0.00       -0.00 
                1.63       0.00       -0.00 
                1.64       0.00       -0.00 
                1.65       0.00       -0.00 
                1.66       0.00       -0.00 
                1.67       0.00       -0.00 
                1.68       0.00       -0.00 
                1.69       0.00       -0.00 
                1.70       0.00       -0.00 
                1.71       0.00       -0.00 
                1.72       0.00       -0.00 
                1.73       0.00       -0.00 
                1.74       0.00       -0.00 
                1.75       0.00       -0.00 
                1.76       0.00       -0.00 
                1.77       0.00       -0.00 
                1.78       0.00       -0.00 
                1.79       0.00       -0.00 
                1.80       0.00       -0.00 
                1.81       0.00       -0.00 
                1.82       0.00       -0.00 
                1.83       0.00       -0.00 
                1.84       0.00       -0.00 
                1.85       0.00       -0.00 
                1.86       0.00       -0.00 
                1.87       0.00       -0.00 
                1.88       0.00       -0.00 
                1.89       0.00       -0.00 
                1.90       0.00       -0.00 
                1.91       0.00       -0.00 
                1.92       0.00       -0.00 
                1.93       0.00       -0.00 
                1.94       0.00       -0.00 
                1.95       0.00       -0.00 
                1.96       0.00       -0.00 
                1.97       0.00       -0.00 
                1.98       0.00       -0.00 
                1.99       0.00       -0.00 
                2.00       0.00       -0.00 
                2.01       0.00       -0.00 
                2.02       0.00       -0.00 
                2.03       0.00       -0.00 
                2.04       0.00       -0.00 
                2.05       0.00       -0.00 
                2.06       0.00       -0.00 
                2.07       0.00       -0.00 
                2.08       0.00       -0.00 
                2.09       0.00       -0.00 
                2.10       0.00       -0.00 
                2.11       0.00       -0.00 
                2.12       0.00       -0.00 
                2.13       0.00       -0.00 
                2.14       0.00       -0.00 
                2.15       0.00       -0.00 
                2.16       0.00       -0.00 
                2.17       0.00       -0.00 
                2.18       0.00       -0.00 
                2.19       0.00       -0.00 
                2.20       0.00       -0.00 
                2.21       0.00       -0.00 
                2.22       0.00       -0.00 
                2.23       0.00       -0.00 
                2.24       0.00       -0.00 
                2.25       0.00       -0.00 
                2.26       0.00       -0.00 
                2.27       0.00       -0.00 
                2.28       0.00       -0.00 
